user_id,movie_id,rating,timestamp
1,269149,5,2024-08-30
1,1100099,1,2024-08-05
1,808,2,2024-10-05
1,573435,2,2024-10-12
1,820530,3,2024-07-21
1,568124,2,2024-11-09
1,639720,5,2024-10-20
1,746036,1,2024-07-05
1,1059264,4,2024-09-08
2,939243,3,2024-10-07
2,82702,4,2024-05-27
2,1290287,2,2024-09-29
2,868759,5,2024-10-18
2,1108427,3,2024-11-21
2,831815,4,2024-06-01
2,675353,3,2024-06-07
2,35019,1,2024-05-27
2,1371727,2,2024-07-27
2,2062,3,2024-07-26
3,13,5,2024-08-06
3,939243,5,2024-11-12
3,18785,3,2024-11-20
3,917496,1,2024-07-23
3,438148,4,2024-08-25
3,330457,3,2024-08-25
3,17899,1,2024-08-13
3,1359227,3,2024-09-18
3,787699,2,2024-07-17
3,207703,1,2024-05-27
3,862,2,2024-09-17
3,507241,2,2024-10-21
3,436969,2,2024-08-09
3,1108427,3,2024-06-04
4,436969,3,2024-08-22
4,533535,5,2024-06-21
4,1108427,3,2024-08-15
4,639720,4,2024-08-01
4,270946,5,2024-08-08
4,877817,5,2024-09-09
4,13,1,2024-06-26
4,454626,3,2024-11-08
5,1354627,2,2024-08-07
5,269509,4,2024-07-04
5,615777,1,2024-07-24
5,330457,4,2024-08-09
5,1359227,3,2024-11-15
5,843527,2,2024-08-10
6,17899,2,2024-06-16
6,519182,1,2024-09-09
6,1359227,2,2024-06-24
6,436969,5,2024-09-27
6,863,4,2024-10-22
6,1100099,1,2024-08-16
6,940551,5,2024-09-26
6,1241982,1,2024-11-08
6,1091181,5,2024-07-02
6,845781,2,2024-10-23
6,1104171,5,2024-08-02
6,1048241,4,2024-11-08
6,346698,1,2024-06-18
6,868759,2,2024-08-21
7,8871,3,2024-08-24
7,940551,1,2024-11-08
7,639720,5,2024-07-27
7,772,1,2024-09-09
7,313369,5,2024-06-05
7,343668,3,2024-09-30
7,947891,5,2024-08-20
7,1120911,4,2024-11-14
7,106646,3,2024-11-02
